Gramine is starting. Parsing TOML manifest file, this may take some time...
-----------------------------------------------------------------------------------------------------------------------
Gramine detected the following insecure configurations:
2023/01/19 22:08:38 loop 80 : 1.382948s
2023/01/19 22:08:40 loop 81 : 1.342037s
2023/01/19 22:08:41 loop 82 : 1.319735s
2023/01/19 22:08:42 loop 83 : 1.34233s
2023/01/19 22:08:44 loop 84 : 1.320854s
2023/01/19 22:08:45 loop 85 : 1.366327s
2023/01/19 22:08:46 loop 86 : 1.341702s
2023/01/19 22:08:48 loop 87 : 1.347697s
2023/01/19 22:08:49 loop 88 : 1.344326s
2023/01/19 22:08:50 loop 89 : 1.342126s
2023/01/19 22:08:52 loop 90 : 1.344899s
2023/01/19 22:08:53 loop 91 : 1.344682s
2023/01/19 22:08:54 loop 92 : 1.320064s
2023/01/19 22:08:56 loop 93 : 1.320769s
2023/01/19 22:08:57 loop 94 : 1.347679s
2023/01/19 22:08:59 loop 95 : 1.341783s
2023/01/19 22:09:00 loop 96 : 1.342454s
2023/01/19 22:09:01 loop 97 : 1.341885s
2023/01/19 22:09:03 loop 98 : 1.365525s
2023/01/19 22:09:04 loop 99 : 1.343313s
2023/01/19 22:09:04 Decryption Time:  2m14.211077s
2023/01/19 22:09:04 finished, elapse:  2m33.608549s
